"gene","sgRNA_count","sgRNA_high_in_alpha","sgRNA_low_in_alpha","p_high","p_low","fdr_high","fdr_low","score","rank_high","rank_low","p_two","alpha_high","genename_high","alpha_low","genename_low"
"Gene02",5,0,5,1,3.69999252459429e-06,1,4.43999102951315e-05,0.0987574608844619,4,1,7.39998504918859e-06,0.3,"",1,"Gene02"
"Gene10",5,1,1,0.347934894637906,0.404112503921563,1,1,-0.00686329706797679,2,2,0.695869789275812,0.3,"",0.3,""
"Gene01",5,4,0,8.75968790206671e-05,1,0.00105116254824801,1,-0.093810957329833,1,3,0.000175193758041334,1,"Gene01",0.3,""
"Gene06",5,1,0,0.404112503921563,1,1,1,0.00024333343367623,3,4,0.808225007843126,0.3,"",0.3,""
"Gene03",5,0,0,1,1,1,1,-0.00495099368751797,5,5,2,0.3,"",0.3,""
"Gene04",5,0,0,1,1,1,1,0.00911519164315256,6,6,2,0.3,"",0.3,""
"Gene05",5,0,0,1,1,1,1,-0.00894064634101422,7,7,2,0.3,"",0.3,""
"Gene07",5,0,0,1,1,1,1,0.00398195904894284,8,8,2,0.3,"",0.3,""
"Gene08",5,0,0,1,1,1,1,-0.0050142169520139,9,9,2,0.3,"",0.3,""
"Gene09",5,0,0,1,1,1,1,-0.00750670067715095,10,10,2,0.3,"",0.3,""
"Gene11",5,0,0,1,1,1,1,-0.00667819128511545,11,11,2,0.3,"",0.3,""
"Gene12",5,0,0,1,1,1,1,-0.0105683061857858,12,12,2,0.3,"",0.3,""
