"gene","sgRNA_count","sgRNA_high_in_alpha","sgRNA_low_in_alpha","p_high","p_low","fdr_high","fdr_low","score","rank_high","rank_low","p_two","alpha_high","genename_high","alpha_low","genename_low"
"Gene01",5,0,5,1,9.20676539879849e-06,1,0.000110481184785582,0.0895912530280512,6,1,1.8413530797597e-05,0.3,"",1,"Gene01"
"Gene07",5,0,1,1,0.347934894637906,1,1,0.0098318874216235,9,2,0.695869789275811,0.3,"",0.3,""
"Gene03",5,2,0,0.0218945938765128,1,0.262735126518154,1,-0.0165241307240982,1,3,0.0437891877530257,0.3,"",0.3,""
"Gene09",5,1,0,0.0793234601201504,1,0.475940760720902,1,-0.0112561111313415,2,4,0.158646920240301,0.3,"",0.3,""
"Gene08",5,1,0,0.287598043837514,1,0.969870009411751,1,-0.00738969488432397,3,5,0.575196087675028,0.3,"",0.3,""
"Gene04",5,1,0,0.347934894637906,1,0.969870009411751,1,-0.0054060164841217,4,6,0.695869789275812,0.3,"",0.3,""
"Gene06",5,1,0,0.404112503921563,1,0.969870009411751,1,-0.0130774334298744,5,7,0.808225007843126,0.3,"",0.3,""
"Gene02",5,0,0,1,1,1,1,-0.0154488909377132,7,8,2,0.3,"",0.3,""
"Gene05",5,0,0,1,1,1,1,-0.00221449983943563,8,9,2,0.3,"",0.3,""
"Gene10",5,0,0,1,1,1,1,-0.0046924872059291,10,10,2,0.3,"",0.3,""
"Gene11",5,0,0,1,1,1,1,0.0043059956302966,11,11,2,0.3,"",0.3,""
"Gene12",5,0,0,1,1,1,1,-0.0103307783512881,12,12,2,0.3,"",0.3,""
